imgName;medianR;medianG;medianB;histR;histG;histB;r;g;b;saturationHsv;hueHsv;valueHsv;saturationHsi;hueHsi;intensityHsi;lLab;aLab;bLab
D1_017.JPG;412.0;438.0;369.5;396.1905;408.3158;369.1;165.3253271624641;141.22885413341845;131.3000319182892;67.53686562400256;121.49601021385254;169.91701244813277;0.14299239218235016;4.24777364730835;0.5723584294319153;165.95890416666666;136.19594166666667;143.095525
D1_025.JPG;337.0;358.5;305.0;387.5;364.3889;328.2;165.70471422611598;140.07259073842303;128.5543596161869;66.95410930329578;121.78831873174802;168.22252816020026;0.14610545337200165;4.255142688751221;0.567753791809082;166.9259125;136.10543333333334;143.10437916666666
D1_029.JPG;0;0;0;120;155;162;118.97726618705036;100.80604316546763;106.99395683453237;73.6189928057554;140.26273381294965;129.66618705035972;0.15229769051074982;4.9088311195373535;0.42715984582901;164.0594;138.54416666666665;144.79907916666667
D1_031.JPG;311.0;245.0;239.0;333.6;274.8889;229.2;159.9203902714932;134.108314479638;126.84205316742081;71.68000565610859;127.25523190045249;165.63871606334843;0.15177281200885773;4.452254295349121;0.5501578450202942;163.73215;137.9129625;144.48338333333334
D1_035.JPG;333.0;406.5;365.5;437.74075;437.5;384.76923;155.9595486111111;126.78246527777777;118.77511574074074;86.5738425925926;123.9495949074074;161.51886574074075;0.19586116075515747;0.0;0.5248590111732483;165.18088333333333;138.71610833333332;144.53640416666667
D1_040.JPG;224.0;163.0;162.5;219.28572;168.0;168.5;138.41156390014936;117.28504373799872;112.47621079581822;74.18433966289737;127.78813740132281;144.07318113932152;0.1613660454750061;4.467480659484863;0.4812717139720917;164.65240416666666;135.8248625;143.24715833333335
D1_042.JPG;0;0;0;120;155;162;114.38748466257668;95.28490797546013;102.15337423312883;86.57300613496932;140.0880981595092;124.54625766871166;0.1987132579088211;4.901225566864014;0.40761539340019226;168.25402083333333;136.67074583333334;143.6546
D1_044.JPG;292.5;198.0;205.0;276.0;199.71428;209.4;156.11837100022376;132.86216155739538;125.66278809577086;66.01163571268741;125.42940255090625;159.43544417095546;0.14617407321929932;4.382443428039551;0.54201740026474;166.83124166666667;135.7508125;142.817475
D1_046.JPG;0;0;0;120;155;162;125.90714285714286;106.87527472527472;109.66483516483517;69.62747252747253;136.1239010989011;132.50934065934067;0.1533348262310028;4.760648727416992;0.4476434588432312;167.2706;135.7339375;142.93160833333334
D1_048.JPG;272.0;372.5;326.0;327.4;365.92856;318.93332;155.14039408866995;131.7311330049261;125.77694581280788;70.25290640394088;124.99083743842364;160.5977339901478;0.1513567417860031;4.37618350982666;0.5394098162651062;165.77649166666666;135.80187083333334;142.84020833333332
D1_052.JPG;190.0;241.5;229.5;216.66667;239.0;228.5;152.03764853033147;130.32120075046905;123.69631019387117;63.29668542839275;127.41225766103815;156.05403377110693;0.1367495059967041;4.457198619842529;0.5307910442352295;167.0806875;135.68705;142.8253625
D1_055.JPG;298.0;257.5;223.0;290.33334;254.3;224.36363;165.9387269482451;144.14069006543724;135.30101130279596;59.58045806067817;125.06618084473527;170.17266508030934;0.12439198791980743;4.374990940093994;0.5821966528892517;167.57864583333333;135.51718333333332;142.81645
D1_078.JPG;583.0;464.0;412.0;545.3077;445.26666;430.66666;147.55005917159764;123.83629191321499;117.44355029585799;79.88915187376726;124.35061143984221;153.5542406311637;0.17592784762382507;4.354255199432373;0.5082743763923645;163.43920416666666;136.09779166666667;142.51725416666667
D1_08.JPG;1588.0;654.0;495.0;2169.4126;1030.8473;868.7727;139.33847041847042;118.23699134199134;127.55599567099567;98.48534632034632;121.72920634920635;161.90551226551227;0.21645794808864594;4.4849042892456055;0.5034398436546326;155.96737916666666;138.87161666666665;136.21716666666666
D1_084.JPG;298.0;236.0;258.0;1037.8545;856.4127;777.971;171.64529853243462;143.63424000509903;130.18746912695;85.74525550934557;107.70663033605813;178.66478639833008;0.20274953544139862;0.0;0.5823098421096802;168.860225;137.43045;144.69790416666666
D1_087.JPG;797.5;1061.0;885.5;1008.06;971.21277;842.5926;186.341781496063;154.68193519079347;134.63970699576015;85.16597895215021;110.30436099333737;191.35482283464566;0.19311758875846863;0.0;0.6217823028564453;177.74398333333335;137.327625;147.36182083333333
D1_091.JPG;424.0;314.0;309.0;2028.6029;1658.3334;1514.4773;194.7223447663479;161.72329614725967;140.2538566163257;83.85044292066893;112.47918589983016;198.9733120036082;0.18915005028247833;0.0;0.6492804288864136;181.17860833333333;137.2067625;145.55120416666668
D1_096.JPG;496.0;548.5;573.0;661.3555;656.7619;665.89746;163.37986782456716;137.12646785733793;125.38470151291715;78.76140149653176;111.40731334316456;168.3402425036867;0.1744230091571808;0.0;0.5567203164100647;167.23352083333333;136.50345416666667;142.46315
D1_097.JPG;487.0;328.0;433.0;1372.1936;1047.883;1082.3014;185.61252281978886;155.11731355807282;138.53032622376432;82.72966629247883;115.16926897302446;192.36178294837342;0.182838574051857;4.027304172515869;0.6264838576316833;184.93328333333332;137.45057916666667;146.34674166666667
D1_099.JPG;282.0;298.0;276.5;1112.4462;1144.1;1030.1666;190.19698766603415;159.09560141260806;138.16563883617962;81.68929211469533;112.45225859160868;194.47944339025932;0.18254445493221283;3.932596445083618;0.6372002959251404;181.49112916666667;136.50336666666666;146.58405416666668
D1_106.JPG;269.0;634.5;620.5;577.5263;677.3571;648.0;152.73007246376812;129.31739130434784;122.47536231884058;74.1631038647343;110.58369565217392;158.94208937198067;0.15362294018268585;3.8686327934265137;0.5287880301475525;164.82375;136.45325;142.330625
D2_124.jpg;890.0;817.0;723.0;865.5217;808.4167;765.8;169.9330658105939;149.4008426966292;134.27652487961475;64.16934189406099;107.67303370786517;172.60561797752808;0.14295656979084015;0.0;0.5929548144340515;165.958125;133.803575;140.6383625
D2_133.jpg;241.0;309.0;337.0;330.18518;341.3684;340.7647;145.7769807109836;128.09365534831818;124.96229874063447;69.65176151761517;118.03100589829428;153.99936234656465;0.14697495102882385;0.0;0.5213502645492554;164.28089166666666;134.24260833333332;140.58767083333333
D2_138.jpg;578.0;1229.0;1160.0;1157.5416;1550.1765;1380.1578;182.82559974747474;158.43825757575758;142.4427398989899;62.600031565656565;105.68671085858585;185.1247159090909;0.13286703824996948;3.6981635093688965;0.6322962045669556;166.2593125;134.9112125;141.026275
D2_140.jpg;247.0;249.0;226.5;288.36365;291.33334;252.9;142.5065438034188;126.39222756410257;124.65050747863248;59.57772435897436;120.97743055555556;150.1340811965812;0.11837639659643173;4.231154918670654;0.514443576335907;168.7490625;134.87502083333334;141.07487083333334
D2_141.jpg;627.5;702.0;810.0;952.5;966.26666;837.8823;166.69244126659856;145.66721144024515;134.3318181818182;65.3979570990807;100.69019407558733;171.44668028600614;0.1389649212360382;0.0;0.5839104652404785;165.06900416666667;134.6917375;140.84550833333333
D2_147.jpg;631.0;607.5;494.5;567.6667;562.0714;463.1875;167.05701078582433;144.3457627118644;137.54029275808938;70.56255778120185;111.14753466872111;174.34745762711864;0.1498299241065979;3.889214277267456;0.5868536829948425;169.98178333333334;135.48198333333335;141.4889375
D2_152.jpg;288.5;255.5;197.0;283.9;250.8;215.27272;135.06746031746033;117.65446796002351;119.74617871840094;80.86860670194004;124.14271017048794;146.19664902998235;0.1801186054944992;4.3434038162231445;0.4868864417076111;164.6056125;134.95280416666665;140.59482083333333
D2_155.jpg;849.5;893.0;682.5;1167.5;1196.2;997.5;174.42754192872118;151.59482005590496;137.64526554856744;64.75318832983928;105.91981132075472;177.70383473095737;0.138026162981987;0.0;0.6061015129089355;164.58875416666666;134.68250833333335;140.7678625
D2_159.jpg;338.0;240.0;212.0;327.83334;244.66667;207.71428;131.75892857142858;114.94350961538461;117.05271291208791;82.6873282967033;111.89371565934066;144.06541895604394;0.18765458464622498;0.0;0.47549694776535034;166.56083333333333;135.23321666666666;141.5038
D2_160.jpg;486.5;418.0;411.5;483.25;471.45456;474.2;158.16402116402116;139.0564713064713;131.54639804639805;66.51261701261701;97.82397232397233;164.82305657305656;0.14175906777381897;0.0;0.5604795813560486;164.21288333333334;134.56381666666667;141.26577083333333
D2_172.jpg;714.0;545.0;496.0;693.9;552.24;542.72;161.90024250440916;140.41793430335096;129.29387125220458;66.04161155202821;112.12687389770723;166.0835537918871;0.13976335525512695;3.9179089069366455;0.5641987919807434;166.09311666666667;134.7139;141.30132083333334
D2_175.jpg;853.0;763.0;866.0;969.17645;942.17645;873.3889;172.18827725826665;149.88971367974548;135.41169382049551;62.79629808155789;113.99108261833607;174.64581124072112;0.13511155545711517;3.9800541400909424;0.5980257391929626;165.78830416666668;134.45900833333334;140.88193333333334
D2_178.jpg;0;0;0;120;155;162;125.11904761904762;109.17019400352734;111.59112286890064;61.63903586125809;135.92475014697237;131.98236331569666;0.12869565188884735;4.75543737411499;0.4521312117576599;165.1572875;135.01100416666668;141.12319583333334
